orginal_time,latitude,longitude,depth,magnitude,location
2010-01-11 16:07:07 UTC,35.74,70.13,67.0,4.5[ML],"155km SSW of Fayzabad, Afghanistan"
2010-01-11 19:42:44 UTC,30.89,77.88,10.0,2.8[ML],"56km WNW of Uttarkashi, Uttarakhand, India"
2010-01-11 21:16:53 UTC,0.65,67.29,10.0,4.6[MB],"794km WSW of Male, Maldives"
2010-01-11 23:15:13 UTC,31.31,73.25,10.0,3.6[ML],"158km WSW of Amritsar, Punjab, India"
2010-01-12 09:25:29 UTC,17.18,73.64,10.0,4.1[ML],"83km NW of Kolhapur, Maharashtra, India"
2010-01-12 10:46:56 UTC,36.14,78.1,33.0,3.4[ML],"226km N of Leh, Laddakh, India"
2010-01-13 10:17:55 UTC,28.88,77.64,10.0,2.9[ML],"45km NNE of Noida, Uttar Pradesh, India"
2010-01-15 00:52:45 UTC,35.88,70.44,33.0,4.1[ML],"136km S of Fayzabad, Afghanistan"
2010-01-16 06:31:29 UTC,14.2,93.7,30.0,4.8[ML],"129km NE of Diglipur, Andaman and Nicobar island, India"
2010-01-16 15:42:30 UTC,27.8,76.44,10.0,2.2[ML],"92km SSW of Jhajjar, Haryana"
2010-01-17 19:09:52 UTC,35.78,70.41,33.0,3.7[ML],"147km S of Fayzabad, Afghanistan"
2010-01-18 05:58:32 UTC,32.83,76.69,10.0,2.7[ML],"76km NNE of Dharamshala, Himachal Pradesh, India"
2010-01-19 00:03:08 UTC,20.72,94.68,96.0,4.6[MB],"186km SW of Burma, Myanmar"
2010-01-19 04:24:03 UTC,1.56,97.15,33.0,4.4[MB],"533km WSW of Kuala Lumpur, Malaysia"
2010-01-19 04:36:13 UTC,34.79,72.68,10.0,3.8[ML],"127km NNW of Islamabad, Pakistan"
2010-01-19 07:17:50 UTC,34.74,71.5,10.0,3.7[ML],"184km NW of Islamabad, Pakistan"
2010-01-19 20:45:54 UTC,32.35,76.76,10.0,3.6[ML],"42km WNW of Manali, Himachal Pradesh, India"
2010-01-20 13:44:40 UTC,10.88,91.75,10.0,4.0[ML],"134km SW of Portblair, Andaman and Nicobar island, India"
2010-01-21 04:36:23 UTC,36.1,70.4,33.0,4.3[ML],"112km S of Fayzabad, Afghanistan"
2010-01-22 06:46:12 UTC,2.1,94.2,14.0,5.1[MB],"546km S of Campbell Bay, Andaman and Nicobar island, India"
2010-01-22 10:46:51 UTC,38.8,77.11,33.0,4.1[ML],"480km N of Kargil, Laddakh, India"
2010-01-22 22:08:05 UTC,35.38,69.88,33.0,4.0[ML],"110km NNE of Kabul , Afghanistan"
2010-01-23 16:07:42 UTC,36.57,71.24,85.0,5.2[ML],"85km SE of Fayzabad, Afghanistan"
2010-01-24 05:57:47 UTC,30.93,90.58,10.0,3.7[ML],"393km NNW of Tawang, Arunachal Pradesh, India"
2010-01-25 10:27:35 UTC,35.24,67.15,33.0,4.1[ML],"202km WNW of Kabul , Afghanistan"
2010-01-25 17:00:44 UTC,21.56,76.93,10.0,3.2[ML],"95km N of Akola,Maharashtra,India"
2010-01-26 06:51:20 UTC,29.72,80.55,33.0,3.5[ML],"35km ENE of Pithoragarh, Uttarakhand, India"
2010-02-22 01:51:35 UTC,35.77,70.14,33.0,4.6[ML],"152km SSW of Fayzabad, Afghanistan"
2010-02-22 11:51:02 UTC,36.7,82.62,33.0,4.1[ML],"537km NE of Leh, Laddakh, India"
2010-02-22 14:57:45 UTC,32.29,82.94,10.0,3.4[ML],"374km ENE of Joshimath, Uttarakhand , India"
2010-02-22 17:23:46 UTC,29.93,80.7,10.0,4.6[ML],"60km NE of Pithoragarh, Uttarakhand, India"
2010-02-23 06:55:45 UTC,26.28,93.3,33.0,4.7[MB],"59km NW of Dimapur, Nagaland, India"
2010-02-23 12:13:26 UTC,35.44,91.18,10.0,4.7[MB],"876km N of Tawang, Arunachal Pradesh, India"
2010-02-23 13:24:11 UTC,2.28,96.26,46.0,4.5[MB],"586km SSE of Campbell Bay, Andaman and Nicobar island, India"
2010-02-23 19:29:24 UTC,34.93,69.96,10.0,3.9[ML],"80km ENE of Kabul , Afghanistan"
2010-02-24 04:36:36 UTC,35.99,69.97,33.0,4.5[ML],"133km SSW of Fayzabad, Afghanistan"
2010-02-24 13:06:45 UTC,32.2,76.26,10.0,3.2[ML],"6km WSW of Dharamshala, Himachal Pradesh, India"
2010-02-24 15:18:43 UTC,29.7,80.52,10.0,3.1[ML],"32km ENE of Pithoragarh, Uttarakhand, India"
2010-02-24 19:20:52 UTC,28.59,76.97,10.0,2.6[ML],"15km NNW of Gurugram, Haryana, India"
2010-02-25 00:49:57 UTC,28.33,77.39,10.0,2.6[ML],"11km SE of Faridabad, Haryana, India"
2010-02-25 03:51:46 UTC,14.27,93.25,10.0,4.9[MB],"115km NNE of Diglipur, Andaman and Nicobar island, India"
2010-02-25 12:18:41 UTC,34.5,83.25,33.0,4.2[ML],"444km ENE of Hanley, Jammu & Kashmir, India"
2010-02-25 14:06:20 UTC,29.57,81.75,33.0,4.2[ML],"148km E of Pithoragarh, Uttarakhand, India"
2010-02-25 16:56:32 UTC,36.46,69.68,33.0,3.8[ML],"105km SW of Fayzabad, Afghanistan"
2010-02-25 19:57:39 UTC,2.26,93.99,33.0,4.2[ML],"528km S of Campbell Bay, Andaman and Nicobar island, India"
2010-02-25 22:26:32 UTC,27.21,88.28,10.0,3.2[ML],"12km SSE of Pelling, Sikkim, India"
2010-02-26 01:34:45 UTC,35.24,78.8,33.0,3.7[ML],"164km NE of Leh, Laddakh, India"
2010-02-26 04:42:37 UTC,28.41,86.73,33.0,5.4[ML],"158km ENE of Kathmandu, Nepal"
2010-02-26 08:55:39 UTC,36.71,71.14,33.0,4.6[ML],"68km SE of Fayzabad, Afghanistan"
2010-02-27 23:21:08 UTC,36.5,69.82,82.0,5.7[ML] 5.7[MB],"93km SW of Fayzabad, Afghanistan"
2010-02-28 01:01:35 UTC,38.59,71.48,33.0,4.2[ML],"184km NNE of Fayzabad, Afghanistan"
2010-02-28 12:13:21 UTC,1.85,99.24,33.0,5.1[MB],"307km WSW of Kuala Lumpur, Malaysia"
2010-02-28 13:31:05 UTC,38.15,73.28,33.0,4.5[MB],"267km ENE of Fayzabad, Afghanistan"
2010-02-28 22:03:26 UTC,28.39,86.64,10.0,4.1[ML],"149km ENE of Kathmandu, Nepal"
2010-03-01 14:08:25 UTC,38.3,74.74,33.0,4.3[ML],"392km ENE of Fayzabad, Afghanistan"
2010-03-01 21:15:15 UTC,14.19,92.88,30.0,4.6[MB],"103km N of Diglipur, Andaman and Nicobar island, India"
2010-03-02 01:26:56 UTC,30.59,79.41,10.0,2.7[ML],"14km WNW of Joshimath, Uttarakhand , India"
2010-03-03 11:48:18 UTC,28.83,76.97,16.0,2.3[ML],"33km NW of New Delhi, India"
2010-03-04 16:06:40 UTC,30.2,67.26,10.0,3.6[ML],"517km SSW of Kabul , Afghanistan"
2010-03-05 05:15:52 UTC,29.16,76.92,10.0,2.7[ML],"42km NE of Rohtak, Haryana, India"
2010-03-05 19:18:59 UTC,35.35,96.6,33.0,4.8[MB],"811km N of Pangin, Arunachal Pradesh, India"
2010-03-06 00:19:53 UTC,38.42,75.29,33.0,3.8[ML],"436km N of Kargil, Laddakh, India"
2010-03-06 02:53:56 UTC,36.3,70.81,33.0,4.4[ML],"91km SSE of Fayzabad, Afghanistan"
2010-03-06 19:11:19 UTC,19.94,96.2,33.0,4.5[MB],"137km S of Ywangan, Myanmar"
2010-03-07 00:27:05 UTC,27.59,74.69,10.0,2.7[ML],"123km N of Pushkar, Rajasthan, India"
2010-03-08 02:07:46 UTC,30.85,75.6,10.0,2.5[ML],"53km S of Jalandhar, Punjab, India"
2010-03-08 14:27:17 UTC,29.69,80.16,10.0,3.1[ML],"13km NNW of Pithoragarh, Uttarakhand, India"
2010-03-09 22:21:16 UTC,30.51,83.1,33.0,3.4[ML],"296km ENE of Pithoragarh, Uttarakhand, India"
2010-03-10 14:32:23 UTC,36.31,86.74,10.0,4.6[MB],"818km ENE of Hanley, Jammu & Kashmir, India"
2010-03-10 17:05:57 UTC,32.86,76.27,10.0,3.6[ML],"71km N of Dharamshala, Himachal Pradesh, India"
2010-03-10 23:14:28 UTC,35.97,70.22,33.0,4.3[ML],"129km SSW of Fayzabad, Afghanistan"
2010-03-11 07:24:23 UTC,34.12,68.82,33.0,4.3[ML],"60km SW of Kabul , Afghanistan"
2010-03-11 07:53:16 UTC,32.6,76.65,10.0,3.0[ML],"52km NE of Dharamshala, Himachal Pradesh, India"
2010-03-12 07:04:47 UTC,37.14,71.14,33.0,4.0[ML],"52km E of Fayzabad, Afghanistan"
2010-03-12 17:59:46 UTC,36.72,71.2,33.0,3.7[ML],"71km SE of Fayzabad, Afghanistan"
2010-03-12 18:23:53 UTC,36.3,69.85,33.0,4.1[ML],"108km SW of Fayzabad, Afghanistan"
2010-03-12 23:19:55 UTC,23.2,94.46,96.0,5.5[MB],"119km ESE of Champhai, Mizoram, India"
2010-03-13 14:59:04 UTC,1.58,97.32,33.0,5.4[MB],"515km WSW of Kuala Lumpur, Malaysia"
2010-03-13 16:45:08 UTC,34.43,75.61,33.0,4.6[ML],"50km WSW of Kargil, Laddakh, India"
2010-03-13 21:45:10 UTC,32.43,75.95,10.0,3.1[ML],"42km WNW of Dharamshala, Himachal Pradesh, India"
2010-03-14 00:01:41 UTC,36.13,70.2,33.0,4.1[ML],"112km SSW of Fayzabad, Afghanistan"
2010-03-14 02:43:27 UTC,8.8,92.27,33.0,4.7[MB],"268km NW of Campbell Bay, Andaman and Nicobar island, India"
2010-03-14 06:53:22 UTC,31.62,76.7,27.0,4.5[ML],"20km W of Mandi, Himachal Pradesh, India"
2010-03-14 19:09:08 UTC,34.94,73.85,33.0,5.2[ML],"110km NNW of Gulmarg, Jammu and Kashmir, India"
2010-03-15 05:56:51 UTC,38.21,70.93,33.0,4.3[ML],"127km NNE of Fayzabad, Afghanistan"
2010-03-15 08:09:22 UTC,28.89,76.64,10.0,2.3[ML],"3km E of Rohtak, Haryana, India"
2010-03-15 18:54:22 UTC,1.2,97.18,33.0,4.7[MB],"545km WSW of Kuala Lumpur, Malaysia"
2010-03-15 20:17:14 UTC,30.52,82.14,10.0,4.9[MB],"212km ENE of Pithoragarh, Uttarakhand, India"
2010-03-15 20:23:25 UTC,30.69,82.7,10.0,4.7[MB],"268km ENE of Pithoragarh, Uttarakhand, India"
2010-03-16 05:23:02 UTC,29.21,77.22,10.0,2.8[ML],"66km N of New Delhi, India"
2010-03-16 22:44:50 UTC,31.71,78.6,10.0,3.1[ML],"110km N of Uttarkashi, Uttarakhand, India"
2010-03-17 09:44:48 UTC,4.4,96.3,33.0,4.5[MB],"392km SE of Campbell Bay, Andaman and Nicobar island, India"
2010-03-17 15:40:51 UTC,33.65,79.97,10.0,3.1[ML],"142km NE of Hanley, Jammu & Kashmir, India"
2010-03-17 21:05:40 UTC,34.59,82.38,10.0,3.4[ML],"380km NE of Hanley, Jammu & Kashmir, India"
2010-03-18 07:52:28 UTC,34.1,81.82,10.0,5.0[MB],"308km ENE of Hanley, Jammu & Kashmir, India"
2010-03-18 10:25:33 UTC,36.11,70.61,33.0,4.4[ML],"110km S of Fayzabad, Afghanistan"
2010-03-20 20:15:06 UTC,13.97,92.87,33.0,4.3[ML],"79km N of Diglipur, Andaman and Nicobar island, India"
2010-03-20 23:26:43 UTC,30.35,80.3,10.0,3.2[ML],"74km ESE of Joshimath, Uttarakhand , India"
2010-03-21 07:49:38 UTC,24.95,95.43,91.0,4.3[ML],"95km E of Ukhrul, Manipur, India"
2010-03-22 03:54:22 UTC,28.72,76.57,10.0,2.2[ML],"15km NNW of Jhajjar, Haryana"
2010-03-23 06:25:33 UTC,30.74,80.1,10.0,3.2[ML],"55km ENE of Joshimath, Uttarakhand , India"
2010-03-23 09:59:53 UTC,33.98,75.38,10.0,3.8[ML],"7km ESE of Pahalgam, Jammu and Kashmir, India"
2010-03-23 10:53:27 UTC,30.47,83.79,33.0,4.0[ML],"340km NNW of Kathmandu, Nepal"
2010-03-23 15:01:58 UTC,38.3,74.28,33.0,4.8[MB],"354km ENE of Fayzabad, Afghanistan"
2010-03-23 15:51:16 UTC,38.2,75.1,33.0,4.7[ML],"415km NNW of Kargil, Laddakh, India"
2010-03-23 17:46:44 UTC,28.66,76.62,10.0,2.8[ML],"6km NNW of Jhajjar, Haryana"
2010-03-24 02:06:09 UTC,32.58,92.64,10.0,5.5[MB],"547km NNW of Basar, Arunachal Pradesh, India"
2010-03-24 02:44:47 UTC,32.68,92.95,10.0,5.6[MB],"548km NNW of Basar, Arunachal Pradesh, India"
2010-03-24 22:51:08 UTC,36.6,71.73,33.0,4.4[ML],"118km ESE of Fayzabad, Afghanistan"
2010-03-25 02:33:32 UTC,32.72,75.92,10.0,3.5[ML],"67km NW of Dharamshala, Himachal Pradesh, India"
2010-03-26 01:06:37 UTC,37.53,72.33,33.0,4.1[ML],"164km ENE of Fayzabad, Afghanistan"
2010-03-26 20:56:20 UTC,33.95,67.85,33.0,3.9[ML],"141km WSW of Kabul , Afghanistan"
2010-03-26 23:16:36 UTC,36.26,70.34,33.0,4.1[ML],"95km S of Fayzabad, Afghanistan"
2010-03-27 16:35:57 UTC,37.71,72.85,33.0,4.0[ML],"214km ENE of Fayzabad, Afghanistan"
2010-03-27 17:20:02 UTC,13.64,92.75,14.0,4.0[ML],"48km NNW of Diglipur, Andaman and Nicobar island, India"
2010-03-28 19:19:20 UTC,12.97,92.36,10.0,3.9[ML],"75km WSW of Diglipur, Andaman and Nicobar island, India"
2010-03-29 01:26:46 UTC,36.26,69.77,33.0,4.0[ML],"116km SW of Fayzabad, Afghanistan"
2010-03-29 03:13:35 UTC,30.87,76.51,15.0,2.7[ML],"29km WNW of Chandigarh, Chandigarh, India"
2010-03-29 12:34:28 UTC,36.22,70.45,33.0,4.1[ML],"98km S of Fayzabad, Afghanistan"
2010-03-29 18:30:46 UTC,29.62,69.88,10.0,4.2[ML],"378km WNW of Bikaner, Rajasthan, India"
2010-03-30 08:14:42 UTC,36.21,71.9,33.0,4.0[ML],"155km SE of Fayzabad, Afghanistan"
2010-03-30 16:54:48 UTC,13.64,92.67,33.0,6.4[MB],"53km NW of Diglipur, Andaman and Nicobar island, India"
2010-03-30 18:40:54 UTC,35.48,69.32,33.0,4.1[ML],"103km N of Kabul , Afghanistan"
2010-03-30 20:33:37 UTC,13.11,92.36,33.0,4.3[ML],"69km WSW of Diglipur, Andaman and Nicobar island, India"
2010-03-30 23:42:22 UTC,34.25,73.38,10.0,3.3[ML],"70km NNE of Islamabad, Pakistan"
2010-03-31 07:21:10 UTC,13.5,92.21,10.0,4.1[ML],"87km WNW of Diglipur, Andaman and Nicobar island, India"
2010-04-01 14:07:28 UTC,29.96,69.19,33.0,5.0[ML],"455km WNW of Bikaner, Rajasthan, India"
2010-04-01 17:27:26 UTC,24.95,98.44,37.0,4.2[MB],"358km SSE of Changlang, Arunachal Pradesh, India"
2010-04-02 19:41:38 UTC,32.65,76.53,10.0,3.7[ML],"51km NNE of Dharamshala, Himachal Pradesh, India"
2010-04-03 14:50:01 UTC,2.33,99.29,96.0,4.8[MB],"281km WSW of Kuala Lumpur, Malaysia"
2010-04-03 15:56:24 UTC,35.61,69.36,33.0,3.8[ML],"118km N of Kabul , Afghanistan"
2010-04-03 16:05:23 UTC,34.64,72.4,10.0,3.9[ML],"121km NNW of Islamabad, Pakistan"
2010-04-04 10:37:53 UTC,38.49,75.31,33.0,4.2[ML],"443km N of Kargil, Laddakh, India"
2010-04-04 18:18:24 UTC,31.44,77.14,10.0,2.7[ML],"26km SE of Mandi, Himachal Pradesh, India"
2010-04-04 19:04:13 UTC,31.35,76.95,10.0,2.6[ML],"26km S of Mandi, Himachal Pradesh, India"
2010-04-05 14:56:07 UTC,28.98,67.2,10.0,4.0[ML],"606km W of Bikaner, Rajasthan, India"
2010-04-06 00:43:26 UTC,36.7,70.31,33.0,4.1[ML],"49km SSW of Fayzabad, Afghanistan"
2010-04-06 10:13:18 UTC,36.31,70.42,33.0,4.2[ML],"88km S of Fayzabad, Afghanistan"
2010-04-06 12:56:41 UTC,23.32,70.39,10.0,3.4[ML],"120km NNW of Rajkot, Gujarat, India"
2010-04-06 22:15:02 UTC,2.44,97.1,33.0,7.0[MB],"515km W of Kuala Lumpur, Malaysia"
2010-04-06 23:35:32 UTC,1.93,97.23,10.0,5.2[MB],"513km WSW of Kuala Lumpur, Malaysia"
2010-04-07 04:22:16 UTC,2.63,96.76,33.0,5.0[MB],"550km W of Kuala Lumpur, Malaysia"
2010-04-07 07:05:51 UTC,27.79,76.62,10.0,3.4[ML],"84km SSW of Gurugram, Haryana, India"
2010-04-07 09:22:31 UTC,39.6,72.2,33.0,4.4[ML],"313km NNE of Fayzabad, Afghanistan"
2010-04-07 20:47:03 UTC,38.16,73.5,33.0,3.8[ML],"285km ENE of Fayzabad, Afghanistan"
2010-04-08 10:48:02 UTC,2.13,96.78,33.0,4.5[MB],"556km WSW of Kuala Lumpur, Malaysia"
2010-04-08 22:41:31 UTC,36.45,77.75,33.0,4.3[ML],"253km N of Alchi(Leh),Jammu & Kashmir,India"
2010-04-09 08:10:47 UTC,34.85,69.75,33.0,4.2[ML],"59km NE of Kabul , Afghanistan"
2010-04-09 12:59:06 UTC,28.19,82.96,33.0,3.4[ML],"172km NNE of Ayodhya, Uttar Pradesh, India"
2010-04-09 17:56:02 UTC,35.77,68.93,33.0,4.7[ML],"137km N of Kabul , Afghanistan"
2010-04-10 12:26:19 UTC,32.97,76.23,10.0,3.9[ML],"84km N of Dharamshala, Himachal Pradesh, India"
2010-04-10 19:56:53 UTC,33.5,76.25,10.0,2.9[ML],"103km ESE of Pahalgam, Jammu and Kashmir, India"
2010-04-11 05:36:13 UTC,36.63,71.23,33.0,4.4[ML],"79km SE of Fayzabad, Afghanistan"
2010-04-11 14:00:35 UTC,36.55,68.97,33.0,4.0[ML],"153km WSW of Fayzabad, Afghanistan"
2010-04-12 00:37:46 UTC,34.11,69.47,33.0,4.7[ML],"55km SSE of Kabul , Afghanistan"
2010-04-12 16:01:42 UTC,36.34,70.46,33.0,4.0[ML],"84km S of Fayzabad, Afghanistan"
2010-04-13 14:08:18 UTC,30.27,81.31,10.0,3.6[ML],"130km NE of Pithoragarh, Uttarakhand, India"
2010-04-13 20:14:56 UTC,7.93,91.85,10.0,5.3[MB],"248km WNW of Campbell Bay, Andaman and Nicobar island, India"
2010-04-13 21:39:56 UTC,33.26,96.87,10.0,5.2[MB],"589km NNE of Pangin, Arunachal Pradesh, India"
2010-04-13 23:49:37 UTC,33.17,96.53,10.0,6.5[MB],"571km N of Pangin, Arunachal Pradesh, India"
2010-04-14 01:25:14 UTC,33.23,96.45,10.0,5.8[MB],"576km N of Pangin, Arunachal Pradesh, India"
2010-04-14 06:19:24 UTC,27.55,82.8,10.0,3.4[ML],"103km NE of Ayodhya, Uttar Pradesh, India"
2010-04-15 08:12:08 UTC,28.93,76.94,23.0,2.7[ML],"32km E of Rohtak, Haryana, India"
2010-04-15 09:07:59 UTC,30.24,76.75,10.0,2.8[ML],"32km NNW of kurukshetra, Haryana, India"
2010-04-15 18:30:19 UTC,33.28,96.49,10.0,4.8[MB],"583km N of Pangin, Arunachal Pradesh, India"
2010-04-15 20:22:40 UTC,18.69,74.31,10.0,3.3[ML],"51km ENE of Pune, Maharashtra, India"
2010-04-16 19:49:25 UTC,30.81,77.97,10.0,2.6[ML],"45km W of Uttarkashi, Uttarakhand, India"
2010-04-17 00:58:59 UTC,32.48,92.68,33.0,5.1[MB],"536km NNW of Basar, Arunachal Pradesh, India"
2010-04-18 05:26:01 UTC,33.54,67.81,33.0,4.0[ML],"171km SW of Kabul , Afghanistan"
2010-04-18 16:14:48 UTC,36.3,71.11,33.0,4.0[ML],"102km SSE of Fayzabad, Afghanistan"
2010-04-18 20:28:43 UTC,36.3,66.1,10.0,5.6[MB],"341km NW of Kabul , Afghanistan"
2010-04-18 21:37:20 UTC,35.82,66.9,10.0,4.6[ML] 4.5[MB],"252km NW of Kabul , Afghanistan"
2010-04-19 01:26:47 UTC,36.16,66.88,10.0,4.7[ML] 4.7[MB],"276km NW of Kabul , Afghanistan"
2010-04-19 13:54:06 UTC,11.3,93.87,155.0,4.7[ML],"129km ESE of Portblair, Andaman and Nicobar island, India"
2010-04-19 22:33:04 UTC,31.36,75.3,10.0,2.6[ML],"26km W of Jalandhar, Punjab, India"
2010-04-20 04:34:48 UTC,31.76,71.76,10.0,3.8[ML],"245km SSW of Islamabad, Pakistan"
2010-04-20 07:40:44 UTC,34.7,72.96,10.0,4.4[ML],"113km N of Islamabad, Pakistan"
2010-04-20 10:58:30 UTC,39.96,76.84,33.0,4.1[ML],"375km SSE of Bishkek, Kyrgyzstan"
2010-04-20 19:07:41 UTC,39.15,70.43,33.0,4.1[ML],"156km ENE of Dushanbe, Tajikistan"
2010-04-21 07:29:38 UTC,35.29,67.45,10.0,4.4[ML],"179km WNW of Kabul , Afghanistan"
2010-04-21 09:43:24 UTC,36.48,71.3,33.0,4.0[ML],"96km SE of Fayzabad, Afghanistan"
2010-04-21 17:31:27 UTC,29.84,86.1,10.0,3.2[ML],"247km NNE of Kathmandu, Nepal"
2010-04-21 23:54:32 UTC,36.23,71.24,33.0,4.5[ML],"114km SSE of Fayzabad, Afghanistan"
2010-04-23 00:02:27 UTC,35.83,77.79,33.0,4.5[ML],"187km N of Leh, Laddakh, India"
2010-04-23 05:27:27 UTC,31.85,76.0,10.0,2.8[ML],"51km SW of Dharamshala, Himachal Pradesh, India"
2010-04-24 04:00:40 UTC,27.24,66.8,10.0,4.3[ML],"597km NNW of Dwarka, Gujarat, India"
2010-04-24 21:16:45 UTC,37.31,71.25,33.0,4.2[ML],"66km ENE of Fayzabad, Afghanistan"
2010-04-26 08:27:37 UTC,35.74,69.81,10.0,4.5[ML],"142km NNE of Kabul , Afghanistan"
2010-04-26 10:37:41 UTC,35.34,75.29,10.0,4.3[ML],"116km NW of Kargil, Laddakh, India"
2010-04-27 00:07:20 UTC,39.28,73.68,33.0,4.7[ML],"365km NE of Fayzabad, Afghanistan"
2010-04-27 14:20:37 UTC,24.19,93.71,33.0,4.1[ML],"34km S of Moirang, Manipur, India"
2010-04-28 16:48:41 UTC,33.6,96.31,33.0,4.8[MB],"614km N of Pangin, Arunachal Pradesh, India"
2010-04-28 18:01:21 UTC,19.4,93.12,33.0,5.4[MB],"397km WSW of Ywangan, Myanmar"
2010-04-28 18:54:40 UTC,24.24,94.27,33.0,4.5[MB],"57km ESE of Moirang, Manipur, India"
2010-04-29 03:05:54 UTC,37.57,80.2,10.0,4.0[ML],"447km NNE of Leh, Laddakh, India"
2010-04-30 03:57:06 UTC,36.85,70.54,33.0,4.4[ML],"27km S of Fayzabad, Afghanistan"
2010-05-01 08:35:02 UTC,37.69,71.46,33.0,4.5[ML],"103km NE of Fayzabad, Afghanistan"
2010-05-01 21:18:58 UTC,13.62,92.64,33.0,5.0[MB],"54km NW of Diglipur, Andaman and Nicobar island, India"
2010-05-01 22:36:27 UTC,29.91,80.1,18.0,4.6[ML],"38km NNW of Pithoragarh, Uttarakhand, India"
2010-05-02 01:44:44 UTC,6.48,92.78,10.0,4.7[MB],"137km WSW of Campbell Bay, Andaman and Nicobar island, India"
2010-05-02 05:53:44 UTC,13.58,92.53,24.0,4.5[ML],"60km NW of Diglipur, Andaman and Nicobar island, India"
2010-05-02 13:15:58 UTC,38.9,75.85,10.0,3.6[ML],"454km SSE of Bishkek, Kyrgyzstan"
2010-05-03 09:50:27 UTC,32.14,76.48,10.0,3.5[ML],"17km ESE of Dharamshala, Himachal Pradesh, India"
2010-05-03 17:15:09 UTC,30.31,78.31,15.0,4.1[ML],"25km N of Rishikesh, Uttarakhand, India"
2010-05-04 15:35:32 UTC,36.17,70.17,33.0,4.4[ML],"108km SSW of Fayzabad, Afghanistan"
2010-05-05 09:31:10 UTC,14.24,92.85,20.0,4.3[ML],"109km N of Diglipur, Andaman and Nicobar island, India"
2010-05-05 13:47:20 UTC,35.73,70.3,33.0,4.1[ML],"154km S of Fayzabad, Afghanistan"
2010-05-06 10:28:57 UTC,33.27,70.7,33.0,5.0[ML],"198km SE of Kabul , Afghanistan"
2010-05-07 05:39:29 UTC,25.16,92.36,10.0,3.3[ML],"64km E of Cherrapunjee, Meghalaya, India"
2010-05-07 09:23:53 UTC,13.66,92.65,33.0,4.7[ML],"56km NW of Diglipur, Andaman and Nicobar island, India"
2010-05-07 17:58:37 UTC,9.38,92.83,33.0,4.7[ML],"249km S of Portblair, Andaman and Nicobar island, India"
2010-05-09 03:15:03 UTC,26.57,96.37,10.0,4.2[MB],"133km S of Changlang, Arunachal Pradesh, India"
2010-05-09 05:59:39 UTC,3.66,96.19,33.0,6.5[MB],"450km SE of Campbell Bay, Andaman and Nicobar island, India"
2010-05-10 13:55:34 UTC,33.1,76.1,33.0,3.2[ML],"100km NNW of Dharamshala, Himachal Pradesh, India"
